"","Country.Region","lat.x","long.x","Node","lat.y","long.y"
"152","Slovenia",46.1512,14.9955,"Eu5",48.74392,17.76318
"153","Somalia",5.1521,46.1996,"Af2",0.184070521739131,17.2277115652174
"154","South Africa",-30.5595,22.9375,"Af2",0.184070521739131,17.2277115652174
"155","Spain",40,-4,"Eu1",38.4458,0.716966666666667
"156","Sri Lanka",7,81,"As3",19.9906666666667,81.4342833333333
"157","Sudan",12.8628,30.2176,"Af2",0.184070521739131,17.2277115652174
"158","Suriname",3.9193,-56.0278,"Am3",-9.46136428571429,-65.4108071428571
"159","Sweden",63,16,"Eu4",63.14458,3.622
"160","Switzerland",46.8182,8.2275,"De",48.1186,10.3319
"161","Syria",34.802075,38.996815,"As1",31.9664875,45.4721230555556
"162","Taiwan*",23.7,121,"As4",34.4636282828283,112.165260606061
"163","Tanzania",-6.369,34.8888,"Af2",0.184070521739131,17.2277115652174
"164","Thailand",15,101,"As5",8.72523209090909,109.552548636364
"165","Timor-Leste",-8.874217,125.727539,"As5",8.72523209090909,109.552548636364
"166","Togo",8.6195,0.8248,"Af2",0.184070521739131,17.2277115652174
"167","Trinidad and Tobago",10.6918,-61.2225,"Am3",-9.46136428571429,-65.4108071428571
"168","Tunisia",34,9,"Af1",28.4458285714286,13.8527615714286
"169","Turkey",38.9637,35.2433,"As1",31.9664875,45.4721230555556
"170","Uganda",1,32,"Af2",0.184070521739131,17.2277115652174
"171","Ukraine",48.3794,31.1656,"Eu7",53.3575166666667,26.8311666666667
"172","United Arab Emirates",24,54,"As1",31.9664875,45.4721230555556
"173","United Kingdom",55.3781,-3.436,"Eu3",54.26025,-5.56405
"174","Uruguay",-32.5228,-55.7658,"Am3",-9.46136428571429,-65.4108071428571
"175","US",37.0902,-95.7129,"Am1",35.1695822222222,-93.5914311111111
"176","Uzbekistan",41.3775,64.5853,"As2",43.5338333333333,68.7583666666667
"177","Venezuela",6.4238,-66.5897,"Am3",-9.46136428571429,-65.4108071428571
"178","Vietnam",16,108,"As5",8.72523209090909,109.552548636364
"179","West Bank and Gaza",31.9522,35.2332,"Af1",28.4458285714286,13.8527615714286
"180","Zambia",-15.4167,28.2833,"Af2",0.184070521739131,17.2277115652174
"181","Zimbabwe",-20,30,"Af2",0.184070521739131,17.2277115652174
