"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X4.14.20",1613,2317,57937,476,10648,60145,373,1500,78329,5586,2814,89588,67895,36897,348,4391,1647,2498,688,1359,37185,799,7534,1694
"X4.15.20",1643,2515,63187,553,22405,63573,425,1577,78440,5974,2914,96153,71280,39588,445,4715,1995,2787,816,1432,38147,853,7616,1986
"X4.16.20",1747,3239,66526,590,26014,67971,497,1782,78561,6413,3125,101941,75372,41933,452,6629,2286,3086,992,1768,40221,901,7757,2304
"X4.17.20",1898,3419,71215,696,26912,72128,617,1920,77723,6874,4624,109273,75407,44072,471,7077,2596,3933,1307,2041,42786,935,7829,2590
"X4.18.20",2034,3663,77929,797,27703,76850,701,2004,77797,7201,4991,112769,75506,46080,491,7604,2842,4356,1486,2463,44989,1069,7937,3057
"X4.19.20",2237,3964,84811,901,36423,80206,758,2061,77886,7583,5036,116356,78085,47146,513,7901,3009,4772,1792,2854,47117,1159,8042,3291
"X4.20.20",2510,4275,87499,1013,37174,84646,909,2175,77955,7902,5101,120786,81323,48161,523,8443,3403,5183,1825,3273,48940,1159,8114,3446
"X4.21.20",2655,4444,91019,1132,38560,88847,1062,2284,78024,8244,5133,125626,83581,49873,9871,8888,3792,5771,2049,3975,51664,1239,8213,3873
"X4.22.20",2838,4829,94447,1338,41570,94050,1219,2378,78105,8768,5168,130683,87223,51906,9916,9320,4286,6193,2427,4370,54607,1356,8277,4420
"X4.23.20",3118,5785,97591,1400,43898,98774,1423,2771,78245,9045,5227,135649,90655,53759,9945,9664,4781,6385,2827,5012,57641,1494,8501,4891
