"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X4.10.20",147929,30507,18883,3962,1986,570,24.9062620487151,5.13635146807017,3.17926130958695,98539,0.930483795209018,0.127649074894037,0.206227311750908,3.48421052631579,1.61558015145898
"X4.11.20",152635,32589,19503,4706,2082,620,25.6985939728223,5.48689015612609,3.28364843091004,100543,1.18778394750126,0.127775411930422,0.213509352376585,3.35806451612903,1.67097369635441
"X4.12.20",156727,34266,19934,4092,1677,431,26.3875489735547,5.76924048267258,3.35621431686206,102527,0.869528261793455,0.127189316454727,0.218634951220913,3.89095127610209,1.71897260961172
"X4.13.20",159880,35490,20500,3153,1224,566,26.91840799538,5.97532086412332,3.45150965665055,103890,0.770527859237537,0.128221165874406,0.221978984238179,2.16254416961131,1.73121951219512
"X4.14.20",162867,37185,21103,2987,1695,603,27.4213182073027,6.26070178451468,3.55303455045349,104579,0.947351728512528,0.129571982046701,0.228315128294866,2.81094527363184,1.76207174335403
"X4.15.20",165535,38147,21681,2668,962,578,27.8705195616414,6.42267018889018,3.65035028613857,105707,0.893203883495146,0.130975322439363,0.230446733319238,1.6643598615917,1.75946681426133
"X4.16.20",169375,40221,22208,3840,2074,527,28.5170462485457,6.77186194634839,3.7390793392632,106946,1.43928035982009,0.131117343173432,0.237467158671587,3.93548387096774,1.81110410662824
"X4.17.20",172877,42786,22784,3502,2565,576,29.1066651176965,7.20372156924149,3.83605834229884,107307,0.911979166666667,0.131793124591473,0.247493882934109,4.453125,1.87789676966292
"X4.18.20",176388,44989,23266,3511,2203,482,29.6977992837697,7.57463258258789,3.91721091081131,108133,1.00256996002284,0.131902396988457,0.255057033358278,4.57053941908714,1.93368004813892
"X4.19.20",179441,47117,23699,3053,2128,433,30.2118216731235,7.93291612158069,3.99011352941275,108625,0.869552833950441,0.132071265764234,0.262576557197073,4.91454965357968,1.98814295961855
"X4.20.20",181699,48940,24153,2258,1823,454,30.5919928343292,8.23984793153552,4.06655184083321,108606,0.73960039305601,0.132928634720059,0.269346556667896,4.01541850220264,2.02624932720573
"X4.21.20",184442,51664,24688,2743,2724,535,31.0538216630215,8.69847780005825,4.15662782455555,108090,1.21479185119575,0.133852376356795,0.280109736394097,5.09158878504673,2.09267660401815
"X4.22.20",187824,54607,25125,3382,2943,437,31.6232365732065,9.1939798936935,4.23020390845586,108092,1.23295661684287,0.133768847431638,0.290734943351222,6.73455377574371,2.17341293532338
"X4.23.20",190483,57641,25589,2659,3034,464,32.0709226306228,9.70480332287779,4.30832588312346,107253,0.78622117090479,0.134337447436254,0.30260443189156,6.53879310344828,2.25256946344132
