"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X4.10.20",5972,991,527,296,108,49,0.304432649486116,0.0505178760282554,0.0268647029938351,4454,0.843304843304843,0.0882451440053583,0.165941058271936,2.20408163265306,1.88045540796964
"X4.11.20",6293,1142,564,321,151,37,0.320796159279325,0.0582153525976465,0.0287508396366661,4587,1.08445945945946,0.0896233910694422,0.181471476243445,4.08108108108108,2.02482269503546
"X4.12.20",6669,1469,605,376,327,41,0.339963385703769,0.0748847223869901,0.0308408829435868,4595,1.17133956386293,0.0907182486129855,0.220272904483431,7.97560975609756,2.42809917355372
"X4.13.20",7003,1505,641,334,36,36,0.35698959215527,0.0767198823637986,0.0326760429203953,4857,0.888297872340426,0.0915322004855062,0.214907896615736,1,2.34789391575663
"X4.14.20",7405,1613,668,402,108,27,0.377482211896298,0.082225362294224,0.0340524129030016,5124,1.20359281437126,0.0902093180283592,0.217825793382849,4,2.41467065868263
"X4.15.20",7898,1643,685,493,30,17,0.40261370824537,0.0837546622748978,0.0349190162253834,5570,1.22636815920398,0.0867308179285895,0.208027348695872,1.76470588235294,2.3985401459854
"X4.16.20",8476,1747,715,578,104,30,0.43207822120635,0.0890562355412333,0.0364483162060571,6014,1.17241379310345,0.0843558282208589,0.206111373289287,3.46666666666667,2.44335664335664
"X4.17.20",9148,1898,745,672,151,30,0.466334540773442,0.0967537121106244,0.0379776161867309,6505,1.16262975778547,0.0814385658067337,0.207477044162658,5.03333333333333,2.54765100671141
"X4.18.20",9589,2034,769,441,136,24,0.488815250489345,0.103686538689679,0.0392010561712699,6786,0.65625,0.0801960579831056,0.212118051934508,5.66666666666667,2.64499349804941
"X4.19.20",10002,2237,798,413,203,29,0.50986861355662,0.114034801892238,0.0406793794859211,6967,0.936507936507937,0.0797840431913617,0.223655268946211,7,2.80325814536341
"X4.20.20",10488,2510,820,486,273,22,0.534643273243535,0.127951431716368,0.0418008661384152,7158,1.17675544794189,0.078184591914569,0.23932112890923,12.4090909090909,3.0609756097561
"X4.21.20",10918,2655,845,430,145,25,0.556563239633191,0.135343048289625,0.0430752827889766,7418,0.88477366255144,0.0773951273126946,0.243176405935153,5.8,3.14201183431953
"X4.22.20",11464,2838,871,546,183,26,0.584396499281453,0.144671778171735,0.0444006761055605,7755,1.26976744186047,0.075976971388695,0.247557571528262,7.03846153846154,3.25832376578645
"X4.23.20",11931,3118,894,467,280,23,0.608202602313941,0.158945244658023,0.045573139424077,7919,0.855311355311355,0.0749308524013075,0.26133601542201,12.1739130434783,3.48769574944072
