"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X4.1.20",1998,148,58,601,25,23,0.0149195762371106,0.00110515379534153,0.000433100811687896,1792,4.11643835616438,0.029029029029029,0.0740740740740741,1.08695652173913,2.55172413793103
"X4.2.20",2543,191,72,545,43,14,0.0189892304159021,0.00142624577642049,0.000537642386922906,2280,0.906821963394343,0.0283130161226897,0.0751081399921353,3.07142857142857,2.65277777777778
"X4.3.20",2567,192,72,24,1,0,0.0191684445448764,0.00143371303179442,0.000537642386922906,2303,0.0440366972477064,0.0280483054148812,0.0747954811063498,1,2.66666666666667
"X4.4.20",3082,229,86,515,37,14,0.0230140810624499,0.0017100014806298,0.000642183962157915,2767,21.4583333333333,0.0279039584685269,0.0743024010382868,2.64285714285714,2.66279069767442
"X4.5.20",3588,229,99,506,0,13,0.0267925122816581,0.0017100014806298,0.000739258282018995,3260,0.98252427184466,0.0275919732441472,0.0638238573021182,0,2.31313131313131
"X4.6.20",4778,375,136,1190,146,37,0.0356785461766339,0.00280022076522347,0.00101554673085438,4267,2.35177865612648,0.0284637923817497,0.0784847216408539,3.94594594594595,2.75735294117647
"X4.7.20",5311,421,150,533,46,14,0.0396585932909382,0.00314371451242421,0.00112008830608939,4740,0.447899159663866,0.0282432686876294,0.07926944078328,3.28571428571429,2.80666666666667
"X4.8.20",5916,506,178,605,85,28,0.0441762827921654,0.0037784312192082,0.00132917145655941,5232,1.13508442776735,0.0300878972278567,0.0855307640297498,3.03571428571429,2.84269662921348
"X4.9.20",6725,620,226,809,114,48,0.0502172923896742,0.00462969833183613,0.00168759971450801,5879,1.33719008264463,0.0336059479553903,0.0921933085501859,2.375,2.74336283185841
"X4.10.20",7598,774,246,873,154,20,0.0567362063311144,0.00577965565942124,0.00183694482198659,6578,1.07911001236094,0.0323769413003422,0.101868912871808,7.7,3.14634146341463
"X4.11.20",8446,969,288,848,195,42,0.0630684388882064,0.00723577045733744,0.00215056954769162,7189,0.971363115693013,0.0340989817665167,0.114728865735259,4.64285714285714,3.36458333333333
"X4.12.20",9205,1080,331,759,111,43,0.0687360857170187,0.00806463580384358,0.00247166152877058,7794,0.895047169811321,0.0359587180879957,0.117327539380771,2.58139534883721,3.26283987915408
"X4.13.20",10453,1181,358,1248,101,27,0.0780552204236824,0.00881882859661044,0.00267327742386667,8914,1.64426877470356,0.0342485410886827,0.112981919066297,3.74074074074074,3.29888268156425
"X4.14.20",11487,1359,393,1034,178,35,0.0857763624803252,0.0101480000531698,0.00293463136195419,9735,0.828525641025641,0.0342125881431183,0.118307652128493,5.08571428571429,3.45801526717557
"X4.15.20",12322,1432,405,835,73,12,0.0920115207175562,0.0106931096954667,0.00302423842644134,10485,0.807543520309478,0.0328680409024509,0.116214900178542,6.08333333333333,3.5358024691358
"X4.16.20",13430,1768,448,1108,336,43,0.10028523967187,0.0132021075011069,0.0033453304075203,11214,1.32694610778443,0.0333581533879375,0.131645569620253,7.81395348837209,3.94642857142857
"X4.17.20",14352,2041,486,922,273,38,0.107170049126633,0.0152406682181896,0.00362908611172961,11825,0.832129963898917,0.0338628762541806,0.142210144927536,7.18421052631579,4.19958847736626
"X4.18.20",15722,2463,521,1370,422,35,0.117400188988916,0.0183918499859877,0.00389044004981714,12738,1.48590021691974,0.0331382775728279,0.156659458084213,12.0571428571429,4.72744721689059
"X4.19.20",17615,2854,559,1893,391,38,0.131535703411764,0.0213115468371941,0.00417419575402645,14202,1.38175182481752,0.0317343173431734,0.162021004825433,10.2894736842105,5.10554561717352
