"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X3.22.20",1101,235,41,94,3,6,0.086363474133512,0.0184336207278613,0.00321607850996729,825,1,0.0372388737511353,0.213442325158946,0.5,5.73170731707317
"X3.23.20",1128,235,42,27,0,1,0.0884813794937343,0.0184336207278613,0.00329451944923479,851,0,0.0372340425531915,0.208333333333333,0,5.59523809523809
"X3.24.20",1193,285,43,65,50,1,0.0935800405461215,0.0223556676912361,0.00337296038850228,865,1,0.0360435875943001,0.238893545683152,50,6.62790697674419
"X3.25.20",1307,310,45,114,25,2,0.102522307622616,0.0243166911729234,0.00352984226703727,952,1,0.0344299923488906,0.237184391736802,12.5,6.88888888888889
"X3.26.20",1387,359,47,80,49,2,0.108797582764016,0.0281602971970307,0.00368672414557226,981,1,0.033886085075703,0.258832011535689,24.5,7.63829787234043
"X3.27.20",1468,372,49,81,13,2,0.115151298844683,0.0291800294075081,0.00384360602410725,1047,1,0.0333787465940054,0.253405994550409,6.5,7.59183673469388
"X3.28.20",1693,404,52,225,32,3,0.132800510179869,0.031690139464068,0.00407892884190974,1237,1,0.0307147076196102,0.238629651506202,10.6666666666667,7.76923076923077
"X3.29.20",1866,424,54,173,20,2,0.146370792673146,0.0332589582494179,0.00423581072044473,1388,1,0.0289389067524116,0.227224008574491,10,7.85185185185185
"X3.30.20",1866,424,54,0,0,0,0.146370792673146,0.0332589582494179,0.00423581072044473,1388,0,0.0289389067524116,0.227224008574491,0,7.85185185185185
"X3.31.20",1953,424,56,87,0,2,0.153195154389418,0.0332589582494179,0.00439269259897972,1473,0,0.028673835125448,0.217101894521249,0,7.57142857142857
"X4.1.20",2178,472,57,225,48,1,0.170844365724604,0.0370241233342576,0.00447113353824721,1649,1,0.0261707988980716,0.216712580348944,48,8.28070175438597
"X4.2.20",2495,472,62,317,0,5,0.1957101434724,0.0370241233342576,0.00486333823458469,1961,0,0.0248496993987976,0.189178356713427,0,7.61290322580645
"X4.3.20",2617,514,63,122,42,1,0.205279938063034,0.0403186427834924,0.00494177917385218,2040,1,0.0240733664501337,0.196408100878869,42,8.15873015873016
"X4.4.20",3139,514,77,522,0,14,0.246226108360667,0.0403186427834924,0.00603995232359711,2548,0,0.024530105129022,0.163746416056069,0,6.67532467532468
