"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X3.30.20",170222,6145,3078,22185,3010,531,3.47216855029087,0.125344995015553,0.0627846858678391,160999,1.09398885546625,0.0180822690369047,0.0360999165795256,5.66854990583804,1.99642625081222
"X3.31.20",197793,8651,4003,27571,2506,925,4.03455860034357,0.176462091436867,0.0816527282420273,185139,1.24277665089024,0.0202383299712326,0.0437376449115995,2.70918918918919,2.16112915313515
"X4.1.20",224017,9833,4898,26224,1182,895,4.56947270112271,0.200572389908532,0.0999088341067823,209286,0.951144318305466,0.0218644120758692,0.0438939901882446,1.32067039106145,2.0075541037158
"X4.2.20",256284,10771,6105,32267,938,1207,5.22765121278534,0.219705604770141,0.124529079669642,239408,1.23043776693106,0.023821229573442,0.0420275943874764,0.777133388566694,1.76429156429156
"X4.3.20",289314,12515,7319,33030,1744,1214,5.90139330967122,0.255279513851854,0.149292110418036,269480,1.02364644993337,0.025297773353519,0.0432574987729595,1.43657331136738,1.70993305096325
"X4.4.20",323316,17862,8686,34002,5347,1367,6.59496214946273,0.364346997716485,0.177176017364539,296768,1.02942779291553,0.0268653577305175,0.0552462606242809,3.91148500365764,2.05641261800599
"X4.5.20",354448,21093,9957,31132,3231,1271,7.22998906318513,0.430252559782434,0.203101727480856,323398,0.915593200399976,0.0280915677334898,0.059509434388119,2.54209284028324,2.11840915938536
"X4.6.20",385023,23470,11216,30575,2377,1259,7.85365435571573,0.478738329213185,0.228782662993399,350337,0.98210844147501,0.0291307272552549,0.0609573973502882,1.8880063542494,2.09254636233951
"X4.7.20",417432,26187,13294,32409,2717,2078,8.51472936685634,0.534159379084179,0.271169465213468,377951,1.05998364677024,0.0318471032407674,0.0627335709768298,1.30750721847931,1.96983601624793
"X4.8.20",450580,28346,15252,33148,2159,1958,9.19087841401265,0.578198409879717,0.311108521395803,406982,1.02280230800086,0.0338497048248924,0.0629100270762129,1.1026557711951,1.85851035929714
"X4.9.20",486615,31205,17221,36035,2859,1969,9.92591615126008,0.636515959228694,0.351271954298264,438189,1.08709424399662,0.0353893735293815,0.0641266709821933,1.4520060944642,1.81203182161315
"X4.10.20",522035,35278,19346,35420,4073,2125,10.6484091900641,0.719596539326065,0.394617457049778,467411,0.982933259331206,0.0370588178953518,0.0675778443974063,1.91670588235294,1.82352941176471
"X4.11.20",553556,38492,21358,31521,3214,2012,11.2913708805255,0.785155337370001,0.435657998949093,493706,0.889920948616601,0.03858326890143,0.0695358735159586,1.59741550695825,1.80222867309673
"X4.12.20",583830,41883,23016,30274,3391,1658,11.9088964100781,0.854324560819592,0.469477690037097,518931,0.960439072364455,0.0394224346128154,0.0717383484918555,2.04523522316043,1.81973409801877
"X4.13.20",610959,53083,24613,27129,11200,1597,12.4622705955585,1.08278085767463,0.502053110222587,533263,0.896115478628526,0.0402858456950466,0.0868847173050892,7.01314965560426,2.15670580587494
"X4.14.20",639718,57937,27074,28759,4854,2461,13.0488933313848,1.18179218490091,0.552252301879752,554707,1.06008330568764,0.0423217730312419,0.0905664683501168,1.97236895570906,2.13994976730442
"X4.15.20",669957,63187,29750,30239,5250,2676,13.6657049350097,1.28888107405171,0.606837038521187,577020,1.05146215097882,0.0444058350013508,0.0943150082766506,1.96188340807175,2.12393277310924
"X4.16.20",704247,66526,34636,34290,3339,4886,14.3651483652918,1.35698960755161,0.706501098024196,603085,1.13396607030656,0.0491816081573652,0.0944640161761428,0.683381088825215,1.92071832775147
"X4.17.20",738816,71215,38627,34569,4689,3991,15.0702828051116,1.45263528397601,0.78790905166245,628974,1.00813648293963,0.0522823003291753,0.0963907116250866,1.1748935103984,1.84365858078546
"X4.18.20",773427,77929,40609,34611,6714,1982,15.7762739560446,1.58958667478715,0.828337657052332,654889,1.00121496138158,0.0525052784554974,0.100758054735612,3.3874873864783,1.91900810165234
"X4.19.20",801938,84811,42874,28511,6882,2265,16.3578380167262,1.72996491005111,0.874538863514533,674253,0.823755453468551,0.053462985916617,0.105757552329482,3.03841059602649,1.97814526286327
"X4.20.20",830244,87499,44505,28306,2688,1631,16.93522051126,1.78479442129631,0.907807811744048,698240,0.992809792711585,0.0536047234307023,0.10538949995423,1.6480686695279,1.96604875856645
"X4.21.20",860038,91019,47064,29794,3520,2559,17.5429550566617,1.85659497173647,0.960005995998694,721955,1.052568360065,0.0547231633951058,0.10583137024178,1.37553731926534,1.93394101648819
"X4.22.20",891500,94447,49554,31462,3428,2490,18.1847132719878,1.92651891688103,1.01079672628164,747499,1.05598442639458,0.0555849691531127,0.105941671340437,1.37670682730924,1.90594099366348
"X4.23.20",924088,97591,53263,32588,3144,3709,18.8494395043014,1.99064986306962,1.08645247673123,773234,1.03578920602632,0.0576384500177472,0.105607907472016,0.847667834995956,1.83224752642547
